year,climate_zone,continent,mean_intensity,record_freq,max_streak,pct_above_p90
1862,Polar,Europe,0.5394,0.0,0,0.0455
1862,Polar,North America,0.6439,0.0594,2,0.1719
1862,Polar,Ocean / Unclassified,0.8157,0.0037,2,0.0112
1862,Temperate,Africa,0.5511,0.0259,2,0.0111
1862,Temperate,Antarctica,0.6446,0.0312,2,0.066
1862,Temperate,Asia,0.3558,0.0965,2,0.1404
1862,Temperate,Australia-Oceania,0.5563,0.0833,2,0.1373
1862,Temperate,Europe,0.3371,0.046,2,0.0057
1862,Temperate,North America,0.452,0.0372,2,0.1064
1862,Temperate,Ocean / Unclassified,0.646,0.0663,2,0.0809
1862,Temperate,South America,0.528,0.0889,2,0.1667
1862,Tropical,Africa,0.4499,0.0848,3,0.0697
1862,Tropical,Asia,0.587,0.2023,2,0.2328
1862,Tropical,Australia-Oceania,0.5564,0.1875,1,0.2067
1862,Tropical,North America,0.6468,0.2083,2,0.1146
1862,Tropical,Ocean / Unclassified,0.6619,0.1811,2,0.1831
1862,Tropical,South America,0.3732,0.3556,2,0.3611
1863,Polar,Antarctica,0.8311,0.0069,1,0.0567
1863,Polar,Asia,0.5586,0.0431,2,0.0905
1863,Polar,Europe,0.5331,0.0,0,0.0
1863,Polar,North America,0.6439,0.0562,1,0.1156
1863,Polar,Ocean / Unclassified,0.8173,0.0373,1,0.0672
1863,Temperate,Africa,0.563,0.0667,3,0.0667
1863,Temperate,Antarctica,0.6448,0.0833,2,0.2257
1863,Temperate,Asia,0.3533,0.0404,2,0.0614
1863,Temperate,Australia-Oceania,0.5441,0.0,0,0.0
1863,Temperate,Europe,0.34,0.046,1,0.0517
1863,Temperate,North America,0.4577,0.1149,2,0.1132
1863,Temperate,Ocean / Unclassified,0.6473,0.0494,2,0.1045
1863,Temperate,South America,0.5272,0.0111,1,0.0333
1863,Tropical,Africa,0.4559,0.1242,2,0.1273
1863,Tropical,Asia,0.5812,0.0687,1,0.0992
1863,Tropical,Australia-Oceania,0.5505,0.0481,1,0.0721
1863,Tropical,North America,0.6473,0.1458,2,0.1667
1863,Tropical,Ocean / Unclassified,0.6618,0.0551,1,0.063
1863,Tropical,South America,0.3514,0.0167,1,0.0167
1864,Polar,Antarctica,0.8359,0.0405,2,0.1736
1864,Polar,Asia,0.5586,0.0043,1,0.0302
1864,Polar,Europe,0.5433,0.0,0,0.0
1864,Polar,North America,0.6458,0.0938,2,0.1781
1864,Polar,Ocean / Unclassified,0.822,0.1045,1,0.1978
1864,Temperate,Africa,0.5729,0.1778,2,0.2185
1864,Temperate,Antarctica,0.6433,0.0278,1,0.184
1864,Temperate,Asia,0.3565,0.0632,3,0.1526
1864,Temperate,Australia-Oceania,0.5459,0.0686,1,0.098
1864,Temperate,Europe,0.3469,0.1667,2,0.1264
1864,Temperate,North America,0.4607,0.125,2,0.1841
1864,Temperate,Ocean / Unclassified,0.6467,0.0674,2,0.1079
1864,Temperate,South America,0.5375,0.0944,1,0.1556
1864,Tropical,Africa,0.4558,0.0667,2,0.1152
1864,Tropical,Asia,0.5577,0.0191,1,0.0382
1864,Tropical,Australia-Oceania,0.5499,0.0625,2,0.1635
1864,Tropical,North America,0.6268,0.0104,1,0.0104
1864,Tropical,Ocean / Unclassified,0.6694,0.0846,2,0.1555
1864,Tropical,South America,0.3538,0.0222,1,0.0389
1865,Polar,Antarctica,0.8366,0.0312,2,0.1562
1865,Polar,Asia,0.5678,0.0216,2,0.1638
1865,Polar,Europe,0.5434,0.0682,1,0.1136
1865,Polar,North America,0.642,0.0688,2,0.0906
1865,Polar,Ocean / Unclassified,0.8219,0.0,0,0.0522
1865,Temperate,Africa,0.5628,0.0444,2,0.063
1865,Temperate,Antarctica,0.6429,0.0139,1,0.1042
1865,Temperate,Asia,0.3585,0.0561,1,0.1421
1865,Temperate,Australia-Oceania,0.5438,0.0,0,0.0343
1865,Temperate,Europe,0.3395,0.0345,2,0.0575
1865,Temperate,North America,0.454,0.0389,2,0.0709
1865,Temperate,Ocean / Unclassified,0.6471,0.0348,3,0.0764
1865,Temperate,South America,0.5319,0.0333,2,0.0778
1865,Tropical,Africa,0.4576,0.097,2,0.1394
1865,Tropical,Asia,0.5713,0.0229,1,0.0229
1865,Tropical,Australia-Oceania,0.5457,0.0385,2,0.0913
1865,Tropical,North America,0.6317,0.0312,1,0.0208
1865,Tropical,Ocean / Unclassified,0.6665,0.0256,2,0.0984
1865,Tropical,South America,0.3551,0.0278,1,0.0556
1866,Polar,Antarctica,0.8359,0.0382,1,0.2222
1866,Polar,Asia,0.5623,0.0345,1,0.0647
1866,Polar,Europe,0.5472,0.0682,2,0.1818
1866,Polar,North America,0.6418,0.0156,1,0.0656
1866,Polar,Ocean / Unclassified,0.8224,0.041,1,0.1567
1866,Temperate,Africa,0.5609,0.037,2,0.1
1866,Temperate,Antarctica,0.6425,0.0243,1,0.0868
1866,Temperate,Asia,0.3556,0.0368,2,0.1193
1866,Temperate,Australia-Oceania,0.5472,0.0539,1,0.098
1866,Temperate,Europe,0.341,0.092,1,0.1264
1866,Temperate,North America,0.4573,0.0574,3,0.1453
1866,Temperate,Ocean / Unclassified,0.6476,0.0551,2,0.1449
1866,Temperate,South America,0.5283,0.0111,2,0.0556
1866,Tropical,Africa,0.4554,0.097,2,0.1545
1866,Tropical,Asia,0.576,0.0191,1,0.0458
1866,Tropical,Australia-Oceania,0.5487,0.0481,1,0.1298
1866,Tropical,North America,0.6396,0.0,0,0.0104
1866,Tropical,Ocean / Unclassified,0.6678,0.0492,1,0.1102
1866,Tropical,South America,0.3552,0.0,0,0.0167
1867,Polar,Antarctica,0.8338,0.0104,2,0.0949
1867,Polar,Asia,0.56,0.0345,2,0.0776
1867,Polar,Europe,0.549,0.0227,1,0.1136
1867,Polar,North America,0.6388,0.0156,1,0.0625
1867,Polar,Ocean / Unclassified,0.8165,0.0,0,0.0
1867,Temperate,Africa,0.5576,0.0185,1,0.0407
1867,Temperate,Antarctica,0.6453,0.0312,1,0.1146
1867,Temperate,Asia,0.3527,0.0281,1,0.0754
1867,Temperate,Australia-Oceania,0.5533,0.0784,2,0.1373
